lat,long,price,furnished,deposit,link,additional information
52.22248,0.150819,"£1,100 pcm",furnished,"£1,000","https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11361622","no additional fees; includes council tax and broadband"
52.213842,0.125536,"£1,300 pcm",furnished,"£1,300","https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11246287","some additional fees"
52.214306,0.126275,"£1,200 pcm",furnished,"£1,800","https://www.openrent.co.uk/property-to-rent/cambridge/2-bed-flat-chesterton-road-cb4/450378","no additional fees"
52.196505,0.14139,£980 pcm,furnished,Unknown,"https://www.zoopla.co.uk/to-rent/details/49327975","agency fees ~£400-800"
52.195872,0.14098,£895 pcm,furnished,"£1,200","https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10376653","some additional fees"
52.242647,0.155578,£800 pcm, furnished,unknown,"https://www.zoopla.co.uk/to-rent/details/39025496","some additional fees"
52.22317,0.148144,£885 pcm, furnished,unknown,"https://www.haart.co.uk/renting/apartment-to-rent/north-cambridge-cb4/hrt042402034/","some additional fees"
52.218597,0.149008,"£1,100 pcm", furnished,unknown,"https://property.cambridge-news.co.uk/details/14844639#property-details","unknown additional fees (probable)"
52.218812,0.14553,£975 pcm, unfurnished,unknown,"https://property.cambridge-news.co.uk/details/14838788#property-details","unknown additional fees (probable)"
52.22592,0.136983,£950 pcm,furnished,"£1,900","Uni accomation services","No additional fees; includes water. <p><img src=""data/47GeorgeNuttalClose.png"" />"
52.201554,0.139976,£880 pcm,part furnished,£1000,Uni accomation services,"No additional fees. <p><img src=""data/1CelticHouse.png"" />"
52.207728,0.124636,£960 pcm,furnished,£960,Uni accomation services,"No additional fees; Includes water and heating; <p><img src=""data/21ManorPlace.png"" />"
52.207781,0.124264,"£1,295 pcm",unfurnished,"£1,650","Uni accomation services","No additional fees. Includes heating. <p><img src=""data/37ManorPlace.png"" />"
52.188377, 0.138954,"£995 pcm",unfurnished,"£995","Uni accomation services","No additional fees. Includes fair use utilities. <p><img src=""data/52ACherryHintonRoad.png"" />"
52.214954, 0.123619, £885 pcm, furnished, £885, "Uni accomation services","No additional fees. <p><img src=""data/Flat310CoronaRoad.png"" />"
52.205023, 0.131366, "£1,200 pcm", furnished, £1800, "Uni accomation services","No additional fees. <p><img src=""data/4aJohnsStreet.png"" />"